Date,Open,High,Low,Close,Volume_base,Volume_quote,compound,positive,negative,neutral,comp_score
2022-04-04 13:30:00,61377.43,61399.5,61262.46,61283.03,2.22698,136598.404258,0.0,0.0,0.0,1.0,1
2022-04-04 16:45:00,60706.41,60741.97,60573.47,60664.72,1.81363,110009.5234672,0.6486,0.142,0.0,0.858,1
2022-04-05 10:15:00,61100.01,61228.41,61039.56,61223.53,5.00989,306103.719278,0.34,0.175,0.111,0.714,1
2022-04-05 11:00:00,61322.79,61332.81,61260.96,61264.37,3.24426,198862.2796749,-0.2732,0.0,0.057,0.943,0
2022-04-05 19:30:00,60279.43,60842.1,60072.8,60799.6,2.90905,175389.1166658,0.0,0.0,0.0,1.0,1
2022-04-05 19:30:00,60279.43,60842.1,60072.8,60799.6,2.90905,175389.1166658,0.2263,0.058,0.0,0.942,1
2022-04-05 20:15:00,60821.34,60898.27,60646.68,60782.19,1.57148,95473.2524565,0.2023,0.052,0.0,0.948,1
2022-04-05 20:45:00,60589.03,60600.0,60307.63,60400.13,3.037,183336.6553663,-0.5423,0.0,0.104,0.896,0
2022-04-05 23:30:00,60580.7,60641.97,60430.17,60490.15,0.91011,55060.2876982,0.0,0.0,0.0,1.0,1
2022-04-06 01:00:00,59525.23,59692.29,59470.51,59551.74,7.47204,445224.2585107,-0.128,0.068,0.082,0.85,0
2022-04-06 14:30:00,58339.12,58546.57,58339.12,58546.57,1.24213,72607.1022106,-0.128,0.072,0.087,0.841,0
2022-04-06 17:30:00,57938.19,58203.79,57904.35,58163.0,1.56927,91165.4583319,-0.4404,0.0,0.088,0.912,0
2022-04-07 10:00:00,58143.31,58157.0,58030.2,58157.0,1.78697,103784.6938267,0.6808,0.128,0.0,0.872,1
2022-04-07 16:15:00,58085.23,58280.31,58034.21,58280.31,1.4189,82493.5724088,0.7269,0.197,0.0,0.803,1
2022-04-07 22:00:00,58140.56,58289.96,58082.44,58213.87,0.70511,41057.143714,0.4939,0.139,0.0,0.861,1
2022-04-07 23:15:00,58378.52,58482.4,58347.56,58460.26,0.99036,57869.7925095,0.0,0.0,0.0,1.0,1
2022-04-08 10:45:00,58435.2,58515.89,58418.32,58465.52,2.39469,140079.5769743,0.4019,0.07,0.0,0.93,1
2022-04-08 14:15:00,57836.16,58444.82,57836.16,58278.1,2.89295,168616.7470718,0.3612,0.139,0.065,0.796,1
2022-04-08 16:00:00,58635.62,58752.67,58550.26,58623.4,2.17782,127770.4988293,-0.4404,0.0,0.081,0.919,0
2022-04-08 20:45:00,57284.46,57507.08,57203.92,57392.89,0.99894,57336.0727745,0.0,0.0,0.0,1.0,1
2022-04-09 09:15:00,57132.13,57132.13,57084.35,57109.98,1.0348,59092.5244377,-0.1779,0.054,0.075,0.871,0
2022-04-09 15:15:00,57053.24,57071.3,57008.8,57011.65,0.60079,34267.6674022,0.0,0.0,0.0,1.0,1
2022-04-10 00:00:00,57388.66,57528.84,57334.39,57470.7,2.07425,119214.810744,0.2732,0.088,0.0,0.912,1
2022-04-10 16:45:00,57333.56,57473.34,57333.56,57446.81,0.81253,46671.4234471,0.4939,0.088,0.0,0.912,1
2022-04-10 21:00:00,58143.24,58143.24,57876.53,57876.53,0.40713,23606.0288533,0.0,0.0,0.0,1.0,1
2022-04-11 05:45:00,56909.5,56961.22,56860.67,56922.06,1.16282,66202.2864007,-0.4588,0.0,0.086,0.914,0
2022-04-11 13:30:00,55345.32,55375.9,55150.0,55227.98,2.4939,137815.1513022,0.0516,0.084,0.078,0.838,1
2022-04-11 21:00:00,53945.33,54127.19,53877.78,53903.61,1.86132,100515.1742267,0.8519,0.183,0.0,0.817,1
2022-04-12 05:15:00,53819.37,53890.07,53766.77,53840.53,1.86886,100623.0910381,-0.128,0.05,0.063,0.888,0
2022-04-12 10:45:00,54048.6,54238.65,54042.96,54135.82,2.97467,161106.7182842,0.5003,0.161,0.075,0.764,1
2022-04-12 14:45:00,53345.04,53568.63,53321.45,53457.58,2.12245,113470.4803826,0.4404,0.081,0.0,0.919,1
2022-04-12 15:15:00,53479.23,53682.04,53451.22,53677.44,1.87731,100561.578089,-0.2584,0.0,0.054,0.946,0
2022-04-12 16:30:00,53727.67,53958.8,53418.2,53519.86,2.63137,140965.3615352,0.0,0.0,0.0,1.0,1
2022-04-12 17:15:00,53671.95,53819.82,53559.28,53804.44,1.05405,56528.6859263,0.34,0.072,0.0,0.928,1
2022-04-13 16:30:00,55588.88,55632.84,55372.0,55372.0,1.01489,56341.6196762,0.1027,0.084,0.071,0.844,1
2022-04-13 18:15:00,55207.89,55327.07,55176.43,55323.29,2.26388,125101.4916178,0.7003,0.142,0.0,0.858,1
2022-04-13 20:45:00,55334.18,55435.62,55316.35,55346.29,1.49428,82734.7491343,0.3182,0.138,0.067,0.795,1
